174th Street Playground,Playground 174E 174 St. & Bronx River Ave.,New York,NY
52 Playground,Playground 52 LiiKelly St. & Ave. St. John,New York,NY
Abigail Adams Playground,Abigail PlaygroundTinton Ave. & E 156 St.,New York,NY
Agnes Haywood Playground,Agnes Haywood PlaygroundBarnes Ave. & E 215 St.,New York,NY
Allerton Playground,Allerton PlaygroundBouck & Throop Aves.,New York,NY
Angelo Campanero Playground,"Givan SquareGun Hill Rd., Eastchester Rd. and O'Neill Pl.",New York,NY
Aqueduct Lands Playground,"Aqueduct WalkW 183 St., Aqueduct Ave., W Tremont Ave. and University Ave.",New York,NY
Arcilla Playground,Arcilla PlaygroundE 164 St. & Teller Ave.,New York,NY
Bailey Playground,Bailey PlaygroundBailey Ave. & W 234-W 238 Sts.,New York,NY
Behagen Playground,"Behagen PlaygroundE 166 St., Union Ave. and Tinton Ave.",New York,NY
Belmont Playground,Belmont PlaygroundCrotona Ave. & E 181 St.,New York,NY
Brady Playground,Bronx ParkBronxdale Ave. & Bronx Pk E,New York,NY
Bridge Playground,"Bridge PlaygroundBoscobel Pl., University Ave. and W 171 St.",New York,NY
Bruckner Playground,Bruckner PlaygroundPhillips Ave. & E 177 St.,New York,NY
Bufano Playground,"Bufano ParkBradford, Edison, La Salle and Waterbury Aves.",New York,NY
Capt. Rivera Playground,Captain Rivera PlaygroundForest Ave. & E 156 St.,New York,NY
Caserta Playground,Caserta PlaygroundSt. Raymond Ave. & Odell St.,New York,NY
Cedar Playground,Cedar PlaygroundW 179 St. & Sedgwick Ave.,New York,NY
Claremont Park,Claremont ParkE 170 St. & Teller Ave.,New York,NY
Clark Playground,Clark PlaygroundE 144 St. & 3 Ave.,New York,NY
Crotona Playground #11,Crotona ParkFulton Ave. between E 172 St. and Claremont,New York,NY
Crotona Playground #2,Crotona ParkCrotona N between Marmion and Prospect,New York,NY
Crotona Playground #5,Crotona ParkCrotona Pk E at E 173 St.,New York,NY
Crotona Playground #6,Crotona ParkCrotona E between Suburban and Charlotte,New York,NY
Crotona Playground #7,Crotona ParkCrotona E between Claremont and Charlotte,New York,NY
